City,Local LSTM MAE,Global CNN-LSTM MAE,Improvement,Local LSTM RMSE,Global CNN-LSTM RMSE,Local LSTM R2,Global CNN-LSTM R2,Winner
Delhi,58.89017672152133,44.769938288508236,23.977239022026694,68.84152474142368,55.49021773036766,-8.877596804457433e-05,0.3502138512046282,⭐ WIN
Hong Kong,2.6180641590020595,3.872620729299692,-47.919244682522915,3.120202143639498,4.206545507803808,-1.539493945701623,-3.6156503609144863,Local edge
Tsuen China,7.532736955064066,8.720240848341238,-15.764574023507397,9.89063527499138,11.380100937727395,0.3414495080067568,0.12816774520282603,Local edge
